,tempmax,Outcome_EXPIRY_sum,Outcome_DAMA_sum,Outcome_DISCHARGE_sum,SMOKING__sum,ALCOHOL_sum,DM_sum,HTN_sum,PRIOR_CMP_sum,readmissions_sum,CKD_sum,SEVERE_ANAEMIA_sum,ANAEMIA_sum,STABLE_ANGINA_sum,ACS_sum,STEMI_sum,ATYPICAL_CHEST_PAIN_sum,HEART_FAILURE_sum,HFREF_sum,HFNEF_sum,VALVULAR_sum,CAD_sum,total_admissions,condition_rainy,TYPE_OF_ADMISSION_EMERGENCY_OPD_sum,temp,dew,humidity,windspeed,winddir,sealevelpressure,PM10 AVG,PM2.5 AVG,visibility,TLC_median,PLATELETS_median,GLUCOSE_median,UREA_median,CREATININE_median,BNP_median,solarenergy,uvindex,tempmin,sun_duration,cloudcover,male_ratio,rural_ratio,EF_median,HB_mean,DURATION_OF_STAY_median,duration_of_intensive_unit_stay_median,average_age,search_HeroDMCHeartInstitute,search_chestpain,cpi_health_PoP,cpi_Food_Beverages_PoP,cpi_health_YoY,vehicles_units_PoP,cpi_FaB,cpi_health,cpi_tobacco_intoxicants,vehicles_units
2017-06-18,43.4,8,3,117,7,6,51,61,23,11,15,0,18,6,52,24,2,36,23,13,4,69,118,4,91,35.214285714285715,17.771428571428572,37.92857142857143,20.071428571428573,240.65714285714284,998.9714285714286,103.14285714285714,131.57142857142858,3.557142857142857,10.975714285714286,233.7142857142857,149.9,44.7,1.0971428571428572,664.04,25.285714285714285,8.857142857142858,29.285714285714285,848.3142857142857,13.242857142857144,0.6108843537414966,0.2296518607442977,41.57142857142857,12.3445906362545,5.642857142857143,3.0,59.975950380152064,0.0,0.0,0.01583531274743,0.03086419753087,3.94736842105264,-5.58631807668045,129.64114702008402,125.43476675419431,147.25109334724817,11392
2017-06-25,41.5,4,5,114,6,12,61,79,33,16,15,3,17,8,65,22,3,48,29,19,8,91,148,5,119,32.74285714285715,20.87142857142857,52.05714285714286,14.342857142857143,233.6142857142857,998.5428571428572,131.71428571428572,165.85714285714286,3.271428571428572,10.85,212.7142857142857,138.5,35.285714285714285,1.026857142857143,647.3785714285714,25.514285714285712,8.571428571428571,26.32857142857143,848.9976190476191,15.228571428571428,0.6283575787294323,0.2943936251083194,41.3,12.49466333081669,4.785714285714286,2.642857142857143,61.80285908222938,0.0,63.0,0.01583531274743,0.03086419753087,3.94736842105264,14.9740163325909,129.94483093257267,125.53783998027612,147.7404968514896,12436
2017-07-02,41.9,12,1,113,8,12,57,60,20,17,14,2,23,6,50,28,10,37,24,13,4,66,120,6,95,32.2,23.17142857142857,61.68571428571429,15.828571428571427,165.18571428571428,997.8285714285714,106.0,111.14285714285714,2.9857142857142853,11.69285714285714,217.6071428571429,151.30714285714288,37.43571428571429,1.021857142857143,617.1285714285714,22.65714285714285,7.714285714285714,27.67142857142857,847.6785714285714,35.94285714285714,0.6447691197691198,0.248989898989899,40.471428571428575,12.305002886002883,5.571428571428571,2.642857142857143,60.44087301587302,0.0,0.0,0.01583531274743,0.03086419753087,3.94736842105264,-9.80176922580229,130.27474699810463,125.64188002904467,148.23836552386277,14724
2017-07-09,40.7,4,3,139,11,20,64,70,27,14,9,2,18,22,48,22,1,25,16,9,8,95,149,5,97,33.52857142857143,22.542857142857144,55.04285714285714,18.442857142857143,246.32857142857145,997.6,66.71428571428571,48.285714285714285,2.4714285714285715,10.114285714285714,233.42857142857144,142.81428571428572,32.642857142857146,0.93,659.6357142857142,24.77142857142857,8.857142857142858,27.642857142857142,844.407142857143,19.342857142857145,0.6428237259816207,0.3631193062020129,44.18571428571429,12.471036092214664,5.214285714285714,2.857142857142857,59.76792218641843,0.0,78.0,-0.07911392405063,-0.03852080123267,3.61842105263158,9.1703056768559,130.62786054725007,125.74690000089355,148.743678401719,9979
2017-07-16,41.5,7,4,129,5,12,58,48,30,11,13,2,20,15,41,29,4,25,17,8,10,76,125,7,100,32.67142857142857,22.757142857142856,58.21428571428572,13.685714285714283,177.37142857142857,1000.0428571428572,78.42857142857143,83.57142857142857,3.7,9.65,231.78571428571428,157.71428571428572,34.857142857142854,0.9864285714285714,678.7357142857143,24.557142857142857,8.571428571428571,27.74285714285714,839.2928571428572,32.84285714285714,0.5961651045444288,0.3320532543240849,39.864285714285714,12.496076061358064,5.571428571428571,3.357142857142857,60.28075489892019,0.0,24.0,-0.07911392405063,-0.03852080123267,3.61842105263158,-8.09180327868853,131.0011369105792,125.85291299621628,149.25541452240972,11602
2017-07-23,39.4,6,2,138,10,14,57,59,21,16,16,2,24,20,39,21,6,26,16,10,8,79,137,7,92,32.67142857142857,23.357142857142858,60.04285714285714,14.857142857142858,185.05714285714288,998.7428571428572,77.42857142857143,87.42857142857143,3.0,10.7,253.78571428571428,138.2357142857143,34.07142857142857,1.0,646.0571428571428,23.9,8.571428571428571,28.185714285714287,832.5333333333334,52.25714285714285,0.6204447513271043,0.2895670505964623,46.0,12.401873337446869,5.357142857142857,2.4285714285714284,59.85483976807506,42.0,57.0,-0.07911392405063,-0.03852080123267,3.61842105263158,9.48915525114155,131.39154141866223,125.95993211540639,149.77255292328633,16793
2017-07-30,38.0,2,4,108,10,6,49,72,21,14,14,3,19,9,46,19,2,31,16,15,9,68,134,7,107,31.228571428571428,23.75714285714286,66.05714285714285,14.357142857142858,142.78571428571428,999.9571428571428,87.14285714285714,93.71428571428572,3.814285714285714,10.0,222.42857142857144,142.32857142857142,36.71428571428572,1.0714285714285714,680.905,21.185714285714287,7.428571428571429,27.142857142857142,824.3309523809523,52.82857142857142,0.5283642827760475,0.2148163111398406,47.79285714285714,12.306933523992347,5.785714285714286,3.2857142857142856,61.923308146102265,0.0,49.0,-0.07911392405063,-0.03852080123267,3.61842105263158,18.7540727225336,131.7960394020694,126.06797045885747,150.29407264170004,15191
2017-08-06,38.2,5,1,127,13,17,57,70,23,15,10,0,15,19,54,24,4,30,22,8,2,91,145,7,103,30.514285714285712,24.11428571428572,70.68571428571428,15.528571428571428,215.2428571428572,999.0571428571428,96.85714285714286,116.0,2.657142857142857,10.05714285714286,217.28571428571428,145.5,38.142857142857146,1.0521428571428573,667.8071428571428,21.542857142857144,8.0,26.214285714285715,814.9142857142857,56.614285714285714,0.6640142021720968,0.3299916457811194,42.19285714285714,12.5900768588137,4.642857142857143,2.5,61.91372180451128,52.0,63.0,0.17460317460317,0.57098765432099,-16.99591836734695,-31.55728709394205,132.21159619137083,126.17704112696309,150.81895271500235,13079
2017-08-13,39.5,9,0,118,3,7,26,24,12,9,8,0,5,10,31,15,1,19,15,4,4,43,67,7,50,31.985714285714288,23.542857142857144,63.02857142857143,16.271428571428572,219.2,999.2857142857144,83.42857142857143,92.0,3.171428571428572,11.842857142857143,224.0,148.3857142857143,39.871428571428574,1.0935714285714286,668.3285714285714,22.042857142857144,8.285714285714286,27.12857142857143,804.4952380952382,43.15714285714286,0.624901185770751,0.2791266704310182,41.85714285714285,12.507530585356673,6.571428571428571,3.7857142857142856,56.8333207854947,77.0,0.0,0.17460317460317,0.57098765432099,-16.99591836734695,13.6134049547022,132.63517711713675,126.28715722011682,151.34617218054456,11232
2017-08-20,40.0,11,3,62,0,0,28,30,16,5,6,1,10,6,23,13,3,15,9,6,5,39,75,4,59,31.342857142857145,21.957142857142856,60.44285714285714,16.02857142857143,221.57142857142856,1001.6142857142858,41.285714285714285,46.71428571428572,3.357142857142857,11.485714285714286,208.78571428571428,145.47857142857143,35.42857142857143,1.0457142857142858,686.2642857142857,24.62857142857143,8.857142857142858,25.97142857142857,793.2761904761904,16.242857142857144,0.5671550671550671,0.3240886098028955,39.47857142857144,12.349075527646956,4.857142857142857,2.357142857142857,60.543345543345545,0.0,46.0,0.17460317460317,0.57098765432099,-16.99591836734695,39.3973608072825,133.06374750993743,126.39833183871212,151.8747100756781,10294
2017-08-27,37.1,14,3,85,17,10,69,73,22,20,16,2,25,9,69,39,0,40,24,17,7,101,160,6,136,30.414285714285715,23.61428571428572,68.97142857142858,13.257142857142856,149.14285714285714,1001.6142857142858,80.28571428571429,89.85714285714286,2.4714285714285715,11.19285714285714,223.28571428571428,137.85,34.5,1.0035714285714286,629.3285714285714,23.914285714285715,8.714285714285714,25.75714285714286,781.4428571428572,16.52857142857143,0.6816653740995846,0.2725361261545472,41.68571428571429,12.511709091347248,5.071428571428571,3.7142857142857135,63.8258717160033,45.0,34.0,0.17460317460317,0.57098765432099,-16.99591836734695,-7.92244608686848,133.49427270034295,126.51057808314265,152.40354543775427,8356
2017-09-03,35.4,9,1,139,11,7,63,63,28,21,13,3,19,14,40,15,6,39,27,12,7,73,131,5,97,28.957142857142856,23.685714285714287,75.05714285714285,14.171428571428573,147.6,1002.8714285714286,145.14285714285714,139.85714285714286,3.0142857142857147,10.025,201.0928571428572,148.42857142857142,33.0,0.9992857142857144,682.3714285714286,21.357142857142858,7.857142857142857,24.714285714285715,769.15,31.02857142857143,0.6245968084203378,0.3005027185699455,42.91428571428571,12.50396751357886,5.428571428571429,4.0,59.676706696664674,43.0,45.0,0.17460317460317,0.57098765432099,3.50162866449511,-10.11050634999175,133.92371801892358,126.62390905380192,152.93165730412443,8226
2017-09-10,36.3,6,2,119,9,10,56,59,24,22,8,3,19,16,44,31,1,25,16,9,5,82,131,5,97,29.642857142857142,21.957142857142856,65.45714285714286,11.542857142857144,261.42857142857144,1005.3,121.0,102.57142857142856,2.0571428571428574,9.892857142857142,226.0642857142857,142.82857142857142,33.0,0.9899285714285714,661.592857142857,23.557142857142857,8.857142857142858,24.228571428571428,756.5142857142857,9.814285714285717,0.6356803479474287,0.2627583251806854,43.69285714285714,12.717232915462729,5.428571428571429,3.7142857142857135,60.347424711244585,49.0,16.0,-0.2360346184107,0.90022505626406,28.1555374592834,-15.76146788990826,134.34904879624952,126.7383378510835,153.45802471214,11055
2017-09-17,38.2,5,4,140,15,16,71,87,26,25,17,2,30,13,47,29,6,39,21,18,5,93,161,0,117,30.057142857142857,19.357142857142858,55.08571428571429,11.671428571428573,313.3142857142857,1006.3285714285714,125.85714285714286,143.71428571428572,2.8000000000000003,10.45,230.3571428571429,136.85714285714286,29.571428571428573,0.9171428571428571,592.0114285714286,22.642857142857142,8.714285714285714,24.514285714285712,743.6476190476191,8.2,0.6051948051948052,0.3115560365560365,42.15714285714286,12.354632034632036,5.285714285714286,3.357142857142857,61.524179894179895,0.0,32.0,-0.2360346184107,0.90022505626406,28.1555374592834,-8.1028098453496,134.767230362891,126.85387757538095,153.98162669915223,8319
2017-09-24,37.9,8,9,124,16,21,60,68,27,17,8,1,22,11,50,25,3,25,15,10,5,73,134,2,92,28.15714285714285,14.814285714285717,49.457142857142856,11.785714285714286,195.37142857142857,1004.657142857143,166.71428571428572,175.14285714285714,2.9,10.828571428571427,222.45714285714288,144.3642857142857,33.142857142857146,1.0285714285714287,662.6071428571429,20.285714285714285,7.714285714285714,21.1,730.6547619047618,26.557142857142857,0.6326927649543652,0.2234046349866591,41.26428571428572,12.2788699292426,4.928571428571429,2.7142857142857144,60.54116228431172,0.0,25.0,-0.2360346184107,0.90022505626406,28.1555374592834,-17.83202970688157,135.17522804941822,126.97054132708777,154.50144230251266,10137
2017-10-01,37.6,10,8,117,13,12,58,67,22,33,12,1,23,13,46,21,0,28,18,10,6,86,135,0,87,28.942857142857143,13.985714285714286,42.92857142857143,10.042857142857144,252.82857142857145,1006.157142857143,149.57142857142858,117.14285714285714,2.3714285714285714,11.228571428571428,214.1428571428572,147.71428571428572,33.57142857142857,1.0485714285714285,718.1142857142858,21.285714285714285,8.142857142857142,21.928571428571427,717.6119047619048,2.957142857142857,0.717535338534127,0.3202542741184743,39.785714285714285,12.15806574499669,5.642857142857143,3.0,60.7473640679648,0.0,77.0,-0.2360346184107,0.90022505626406,28.1555374592834,-1.48076923076923,135.57000783053948,127.08834220659759,155.01644971486985,13266
